บัญชีรายการอุปกรณ์โครงการ DOPA (USO SHF),,,,,,,14 ก.ค. 26
ลำดับ,รายการ,FORTH,,,,,หมายเหตุ
,,รุ่น,คลัง EMS,คลัง Forth ชั้น 3,เบิกใช้งาน,คงเหลือ,
1,สายอากาศ SC-488-SF1LDF(D00),Sinclar,1,,,1,USO
2,สายอากาศ SC-45A-SF1LDF(D00),Sinclar,1,,,1,USO
3,สายอากาศ SC-489-SF1LNF(D00),Sinclar,4,,,4,
4,สายอากาศ Yagi 406-SF1SNF (ABK),Sinclar,,12,,12,
5,ขารองตู้ประเภทติดตั้งภายใน , -,12,,,12,
6,ขาวางสายอากาศ, -,22,,,22,ใช้สำหรับเก็บสายอากาศในคลัง
7,ตู้ชุดDMO-GW+ขาตั้ง (ตั้งนอกอาคาร), -,7,,,7,
,    - Support ขายึด SC-489 (2ชุด/1ตู้), -,3,,,3,ประกอบอยู่ในตู้แล้ว
8,"DC Power (1,000m.)", -,2,,,2,"เหลือ 1,545 เมตร (เก็บไว้ที่คลังโรงสี)"
9,"CellFlex cable 1/2""* (500m.)", -,7,,,7,"เหลือ 3,330 เมตร  (เก็บไว้ที่คลังโรงสี)  USO"
10,Auxiliary materials BS (อุปกรณ์เสริม BS ), -,22,,,22,
11,mounting Myset 50cm.+pipe 60cm., -,2,,,2,
12,"Pipeกลม 2 1/2"" 60 CM. ลูกข่าย", -,5,,,5,
13,X-Clamp, -,4,,,4,
14,HE-3KS S/N 2207320369A0001, -,1,,,1,
15,Batterry Bank HE-3KS S/N 2207320369A001, -,1,,,1,
16,3K UPS Support, -,1,,,1,
17,PT580 Plus F5,Hytera,,11,11,0,
,    - Battery (BL1806) สำรอง,Hytera,,12,,12,
,    - Charger(CH10A07),Hytera,,11,11,0,
18,MT680 Plus (S) F5 ,Hytera,,6,,6,(การ์ดเสียซ่อมไม่ได้)
,    - SM09D2 External Speaker (5m Cabl),Hytera,,6,,6,
,    - SM10A1 Desktop Microphone,Hytera,,6,,6,
19,PC90 สายโปรแกรมเครื่องลูกข่ายมือถือ,Hytera,,34,,34,
20,PC64 สายโปรแกรมเครื่องลูกข่ายมือถือ,Hytera,,2,,2,
21,PC35 สายโปรแกรมหน้าเครื่องลูกข่าย Fixed,Hytera,,33,,33,
22,PC47 สายโปรแกรมหลังเครื่องลูกข่าย Fixed,Hytera,,6,,6,
23,PUS Cable for VPUC,Hytera,,2,,2,
24,Lightning Arrestors Ground Bar 1 ช่อง,-,,28,,28,
25,Lightning Arrestors Ground Bar 4 ช่อง,-,,1,,1,
26,Ligthning Arrester NM-NF,-,,10,,10,
27,"Lightning_arrestor,NF-NF", -,5,,,5,เก็บอยู่ในตู้ DMO 5 เส้น USO
28,"Grounding_kit_for_1/2""_cable",Comsolution,,6,,6,
29,"Grounding_kit_for_7/8""_cable",Comsolution,6,16,,22,เก็บอยู่ในตู้ DMO 6 เส้น USO
30,Connector_N_male_for_LCF12,Comsolution,5,,,5,เก็บอยู่ในตู้ DMO 5 เส้น USO
31,Arrester ZGTT8-18N-20M,Comsolution,,13,,13,
32,"Jumper_N_male-N_male,L=3m*",Comsolution,5,13,,18,เก็บอยู่ในตู้ DMO 5 เส้น USO
