No,Item_Type,SKU,Parent_SKU,รายการ,รุ่น,จำนวน,หมายเหตุ
1,PARENT,DOPA-001,,สายอากาศ SC-488-SF1LDF(D00),Sinclar,1,
2,PARENT,DOPA-002,,สายอากาศ SC-45A-SF1LDF(D00),Sinclar,1,
3,PARENT,DOPA-003,,สายอากาศ SC-489-SF1LNF(D00),Sinclar,4,
4,PARENT,DOPA-004,,สายอากาศ Yagi 406-SF1SNF (ABK),Sinclar,10,
5,PARENT,DOPA-005,,ขารองตู้ประเภทติดตั้งภายใน , -,9,
6,PARENT,DOPA-006,,ขาวางสายอากาศ, -,22,ใช้สำหรับเก็บสายอากาศในคลัง
7,PARENT,DOPA-007,,ตู้ชุดDMO-GW+ขาตั้ง (ตั้งนอกอาคาร), -,7,
,CHILD,SUP-001,DOPA-007,Support ขายึด SC-489 (2ชุด/1ตู้), -,3,ประกอบอยู่ในตู้แล้ว
8,PARENT,DOPA-008,,"Lightning_arrestor,NF-NF", -,5,เก็บอยู่ในตู้ DMO 5 เส้น USO
9,PARENT,DOPA-009,,"Grounding_kit_for_7/8""_cable",Comsolution,64,เก็บอยู่ในตู้ DMO 6 เส้น USO
10,PARENT,DOPA-010,,Connector_N_male_for_LCF12,Comsolution,5,เก็บอยู่ในตู้ DMO 5 เส้น USO
11,PARENT,DOPA-011,,"Jumper_N_male-N_male,L=3m*",Comsolution,19,เก็บอยู่ในตู้ DMO 5 เส้น USO
12,PARENT,DOPA-012,,"Jumper_N_male-N_female,L=3m*",Comsolution,23,เก็บอยู่ในตู้ DMO 5 เส้น USO
13,PARENT,DOPA-013,,"DC Power (1,000m.)", -,1,"เหลือ 1,020 เมตร (เก็บไว้ที่คลังโรงสี)"
14,PARENT,DOPA-014,,"CellFlex cable 1/2""* (500m.)", -,4,"เหลือ 2,317 เมตร  (เก็บไว้ที่คลังโรงสี)  USO"
15,PARENT,DOPA-015,,Auxiliary materials BS (อุปกรณ์เสริม BS ), -,22,
16,PARENT,DOPA-016,,mounting Myset 50cm.+pipe 60cm., -,2,
17,PARENT,DOPA-017,,"Pipeกลม 2 1/2"" 60 CM. ลูกข่าย", -,5,
18,PARENT,DOPA-018,,X-Clamp, -,4,
19,PARENT,DOPA-019,,HE-3KS S/N 2207320369A0001, -,1,
20,PARENT,DOPA-020,,Batterry Bank HE-3KS S/N 2207320369A001, -,1,
21,PARENT,DOPA-021,,3K UPS Support, -,1,
22,PARENT,DOPA-022,,Ligthning Arrester NF,-,10,
23,PARENT,DOPA-023,,NM-LCF78-C03,-,20,
24,PARENT,DOPA-024,,NF-LCF78-C03, -,20,
25,PARENT,DOPA-025,,"Grounding_kit_for_1/2""_cable",Comsolution,6,
26,PARENT,DOPA-026,,Arrester ZGTT8-18N-20M,Comsolution,7,
27,PARENT,DOPA-027,,"Jumper_N_male-N_male,L=5m*",Comsolution,13,
28,PARENT,DOPA-028,,"Jumper_N_male-N_male,L=10m* ",Comsolution,5,
29,PARENT,DOPA-029,,"Jumper_N_male-N_male,L=15m*",Comsolution,1,
30,PARENT,DOPA-030,,"Jumper_7/16 _male-N_male, L=5m*",Comsolution,19,
31,PARENT,DOPA-031,,"Jumper_7/16 _male-N_male, L=7m* ",Comsolution,2,
32,PARENT,DOPA-032,,"Jumper_7/16 _male-N_male, L=10m* ",Comsolution,6,
33,PARENT,DOPA-033,,"Jumper_7/16 _male-N_male, L=15m* ",Comsolution,2,
34,PARENT,DOPA-034,,จุกแบตเตอรี่ (ดำแดง),-,26,
35,PARENT,DOPA-035,,Surge Protector Stabil (MODEL:A2P1L8M1) (3 รูปคลื่น),Stabil,11,
36,PARENT,DOPA-036,,Breaker 16A1P,HACO,29,
37,PARENT,DOPA-037,,Breaker NDM1-63 C10,NADER,29,
38,PARENT,DOPA-038,,Breaker ABB SH201 C201P,ABB,141,
39,PARENT,DOPA-039,,Breaker 20A2P ,HACO,4,
40,PARENT,DOPA-040,,Breaker C20A 1P,Schneider ,2,
41,PARENT,DOPA-041,,Breaker 6A 1P,Schneider ,1,
42,PARENT,DOPA-042,,Breaker 25A 1P,Schneider ,1,
43,PARENT,DOPA-043,,Patch Cord - LC - LC  2m. ,-,6,
44,PARENT,DOPA-044,,Patch Cord - FC - LC 5m.,-,56,
45,PARENT,DOPA-045,,Patch Cord - LC - LC Connector ,-,3,
46,PARENT,DOPA-046,,MMBC-5M-NC (Jumper+ขาตั้ง Ant ติดรถยนต์), -,3,
47,PARENT,DOPA-047,,เสาอากาศติดรถยรต์ย่าน 800 model TQC-900BII,Hytera,8,
48,PARENT,DOPA-048,,แท่นติดเสาอากาศติดรถยรต์ย่าน 800 model TQC-900BII,Hytera,17,
49,PARENT,DOPA-049,,Antenna UHF + Magnetic สำหรับติดหลังคารถ ,Hytera,3,
50,PARENT,DOPA-050,,Car Kits CK02,Hytera,7,
51,PARENT,DOPA-051,,Speaker Microphone,Hytera,20,
52,PARENT,DOPA-052,,External Speaker,Hytera,6,
53,PARENT,DOPA-053,,Body Camera,Hytera,12,
54,PARENT,DOPA-054,,แท่นชาร์จ Body Camera,Hytera,2,
55,PARENT,DOPA-055,,FORTH Meter,FORTH,19,
56,PARENT,DOPA-056,,Mounting แม่ข่าย, -,1,ใช้ติดตั้งแม่ข่าย 1 Set
